
Title,Company,Location,Apply
b'Data Visualization Analyst',b'CGI',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-visualization-analyst-at-cgi-3647577016?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=cHh4n6Ep98XAZrVE3gmi9g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst Junior',b'Energy Jobline',"b'Calgary, Alberta, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-junior-at-energy-jobline-3644658837?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=R5PEjfVHuleAgS%2Fz8N%2F71g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Remote BI Data Analyst',b'Affinity',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/remote-bi-data-analyst-at-affinity-3636860711?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=xTwSjuO2bs%2FFb2vS4a5zmQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Data Analyst (MDM)',b'BeachHead',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/sr-data-analyst-mdm-at-beachhead-3647189350?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=v9Ts7JAGFhdHGxUMJ9dyiQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'International Data Analysis & Visualization Specialist',b'Conestoga College',"b'Kitchener, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/international-data-analysis-visualization-specialist-at-conestoga-college-3645170011?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=STYNNy04RxdAyhKSnOCwSQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'P2 - Data Analyst',b'Randstad Canada',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/p2-data-analyst-at-randstad-canada-3642133083?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=Wzj%2FXGOu%2FEDHOpMJrXrR6g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'P2 - Data Analyst',b'Randstad Canada',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/p2-data-analyst-at-randstad-canada-3642133084?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=0BhCWjL3FlDUl%2FHXdOi6qw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst, IVR'","b""President's Choice Financial""","b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-ivr-at-president-s-choice-financial-3642143174?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=4ancB5tfSNOnAwbhye55TA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer',b'VySystems',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-at-vysystems-3647560334?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=1TEc2PoQv31HoL6T4%2BMXwA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst - Adv. Excel (Macros), VBA, MDM'",b'Procom',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-adv-excel-macros-vba-mdm-at-procom-3647440026?refId=6plS3Pazl9wdg4uADpVv%2Bg%3D%3D&trackingId=ZhVUy9I81QKDk8DcU8aUUg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
